مُرْتَحَلٌ,مفعول,اِرْتَحَلَ,مذكر,مفرد
مُرْتَفَعٌ,مفعول,اِرْتَفَعَ,مذكر,مفرد
مُرْتَقَبٌ,مفعول,اِرْتَقَبَ,مذكر,مفرد
مُرْتَقَعٌ,مفعول,اِرْتَقَعَ,مذكر,مفرد
مُرْتَقَى,مفعول,اِرْتَقَى,مذكر,مفرد
مُرْتَقاة,مفعول,اِرْتَقَى,مؤنث,مفرد
مُرْتَكَبٌ,مفعول,اِرْتَكَبَ,مذكر,مفرد
مُرْتَكَزٌ,مفعول,اِرْتَكَزَ,مذكر,مفرد
مُرْتَهَنٌ,مفعول,اِرْتَهَنَ,مذكر,مفرد
مُرْسَلٌ,مفعول,أَرْسَلَ,مذكر,مفرد
مَرَاسِيلُ,مفعول,أَرْسَلَ,NULL,جمع
مُرْغَمٌ,مفعول,أَرْغَمَ,مذكر,مفرد
مُرْفَقٌ,مفعول,أَرْفَقَ,مذكر,مفرد
مُؤَرَّقٌ,مفعول,أَرَّقَ,مذكر,مفرد
مُرْهَفٌ,مفعول,أَرْهَفَ,مذكر,مفرد
مُرْهَقٌ,مفعول,أَرْهَقَ,مذكر,مفرد
مُزَاحٌ,مفعول,أَزَاحَ,مذكر,مفرد
مُزْدَحَمٌ,مفعول,اِزْدَحَمَ,مذكر,مفرد
مُزْمَعٌ,مفعول,أَزْمَعَ,مذكر,مفرد
مُسْبَعٌ,مفعول,أَسَبَعَ,مذكر,مفرد
مُسْتَأْنَفٌ,مفعول,اِسْتَأْنَفَ,مذكر,مفرد
مُسْتَبَاحٌ,مفعول,اِسْتَبَاحَ,مذكر,مفرد
مُسْتَبْعَدٌ,مفعول,اِسْتَبْعَدَ,مذكر,مفرد
مُسْتَثْنَى,مفعول,اِسْتَثْنَى,مذكر,مفرد
مُسْتَثْناة,مفعول,اِسْتَثْنَى,مؤنث,مفرد
مُسْتَجَابٌ,مفعول,اِسْتَجَابَ,مذكر,مفرد
مُسْتَجَدٌّ,مفعول,اِسْتَجَدَّ,مذكر,مفرد
مُسْتَجْوَبٌ,مفعول,اِسْتَجْوَبَ,مذكر,مفرد
مُسْتَحَبٌّ,مفعول,اِسْتَحَبَّ,مذكر,مفرد
مُسْتَحْدَثٌ,مفعول,اِسْتَحْدَثَ,مذكر,مفرد
مُسْتَحْسَنٌ,مفعول,اِسْتَحْسَنَ,مذكر,مفرد
مُسْتَحْضَرٌ,مفعول,اِسْتَحْضَرَ,مذكر,مفرد
مُسْتَحَقٌّ,مفعول,اِسْتَحَقَّ,مذكر,مفرد
مُسْتَحْكَمٌ,مفعول,اِسْتَحْكَمَ,مذكر,مفرد
مُسْتَحْلَبٌ,مفعول,اِسْتَحْلَبَ,مذكر,مفرد
مُسْتَحَمٌّ,مفعول,اِسْتَحَمَّ,مذكر,مفرد
مُسْتَخْدَمٌ,مفعول,اِسْتَخْدَمَ,مذكر,مفرد
مُسْتَخْرَجٌ,مفعول,اِسْتَخْرَجَ,مذكر,مفرد
مُسْتَخْلَصٌ,مفعول,اِسْتَخْلَصَ,مذكر,مفرد
مُسْتَدَارٌ,مفعول,اِسْتَدَارَ,مذكر,مفرد
مُسْتَدَقٌّ,مفعول,اِسْتَدَقَّ,مذكر,مفرد
مُسْتَدَلٌّ,مفعول,اِسْتَدَلَّ,مذكر,مفرد
مُسْتَرَقٌّ,مفعول,اِسْتَرَقَّ,مذكر,مفرد
مُسْتَسَاغٌ,مفعول,اِسْتَسَاغَ,مذكر,مفرد
مُسْتَشَارٌ,مفعول,اِسْتَشَارَ,مذكر,مفرد
مُسْتَشْفَى,مفعول,اِسْتَشْفَى,مذكر,مفرد
مُسْتَشْفاة,مفعول,اِسْتَشْفَى,مؤنث,مفرد
مُسْتَطَاعٌ,مفعول,اِسْتَطَاعَ,مذكر,مفرد
مُسْتَعَارٌ,مفعول,اِسْتَعَارَ,مذكر,مفرد
مُسْتَعَانٌ,مفعول,اِسْتَعَانَ,مذكر,مفرد
مُسْتَعْبَدٌ,مفعول,اِسْتَعْبَدَ,مذكر,مفرد
مُسْتَعْجَلٌ,مفعول,اِسْتَعْجَلَ,مذكر,مفرد
مُسْتَعْجَمٌ,مفعول,اِسْتَعْجَمَ,مذكر,مفرد
مُسْتَعْمَرٌ,مفعول,اِسْتَعْمَرَ,مذكر,مفرد
مُسْتَعْمَلٌ,مفعول,اِسْتَعْمَلَ,مذكر,مفرد
مُسْتَغَلٌّ,مفعول,اِسْتَغَلَّ,مذكر,مفرد
مُسْتَقْبَلٌ,مفعول,اِسْتَقْبَلَ,مذكر,مفرد
مُسْتَقَرٌّ,مفعول,اِسْتَقَرَّ,مذكر,مفرد
مُسْتَكْشَفٌ,مفعول,اِسْتَكْشَفَ,مذكر,مفرد
مُسْتَلَبٌ,مفعول,اِسْتَلَبَ,مذكر,مفرد
مُسْتَلْزَمٌ,مفعول,اِسْتَلْزَمَ,مذكر,مفرد
مُسْتَمَدٌّ,مفعول,اِسْتَمَدَّ,مذكر,مفرد
مُسْتَمْطَرٌ,مفعول,اِسْتَمْطَرَ,مذكر,مفرد
مُسْتَمْلَحٌ,مفعول,اِسْتَمْلَحَ,مذكر,مفرد
مُسْتَنْبَتٌ,مفعول,اِسْتَنْبَتَ,مذكر,مفرد
مُسْتَنْجَعٌ,مفعول,اِسْتَنْجَعَ,مذكر,مفرد
مُسْتَنَدٌ,مفعول,اِسْتَنَدَ,مذكر,مفرد
مُسْتَنْزَفٌ,مفعول,اِسْتَنْزَفَ,مذكر,مفرد
مُسْتَنْسَخٌ,مفعول,اِسْتَنْسَخَ,مذكر,مفرد
مُسْتَنْشَقٌ,مفعول,اِسْتَنْشَقَ,مذكر,مفرد
مُسْتَنْفَرٌ,مفعول,اِسْتَنْفَرَ,مذكر,مفرد
مُسْتَنْقَعٌ,مفعول,اِسْتَنْقَعَ,مذكر,مفرد
مُسْتَنْكَرٌ,مفعول,اِسْتَنْكَرَ,مذكر,مفرد
مُسْتَهْجَنٌ,مفعول,اِسْتَهْجَنَ,مذكر,مفرد
مُسْتَهَلٌّ,مفعول,اِسْتَهَلَّ,مذكر,مفرد
مُسْتَهْلَكٌ,مفعول,اِسْتَهْلَكَ,مذكر,مفرد
مُسْتَوْدَعٌ,مفعول,اِسْتَوْدَعَ,مذكر,مفرد
مُسْتَوْرَدٌ,مفعول,اِسْتَوْرَدَ,مذكر,مفرد
مُسْتَوْصَفٌ,مفعول,اِسْتَوْصَفَ,مذكر,مفرد
مُسْتَوْلَى,مفعول,اِسْتَوْلَى,مذكر,مفرد
مُسْتَوْلاة,مفعول,اِسْتَوْلَى,مؤنث,مفرد
مُسْتَوَى,مفعول,اِسْتَوَى,مذكر,مفرد
مُسْتَواة,مفعول,اِسْتَوَى,مؤنث,مفرد
مُسْدَلٌ,مفعول,أَسْدَلَ,مذكر,مفرد
مَسْعُودٌ,مفعول,سَعَدَ,مذكر,مفرد
مُسْعَفٌ,مفعول,أَسْعَفَ,مذكر,مفرد
مُسْهَبٌ,مفعول,أسْهَبَ,مذكر,مفرد
مُشْبَعٌ,مفعول,أَشْبَعَ,مذكر,مفرد
مُشْتَبَهٌ,مفعول,اِشْتَبَهَ,مذكر,مفرد
مُشْتَرَكٌ,مفعول,اِشْتَرَكَ,مذكر,مفرد
مُشْتَقٌّ,مفعول,اِشْتَقَّ,مذكر,مفرد
مُشْتَكَى,مفعول,اِشْتَكَى,مذكر,مفرد
مُشْتَكاة,مفعول,اِشْتَكَى,مؤنث,مفرد
مُشْتَهَى,مفعول,اِشْتَهَى,مذكر,مفرد
مُشْتَهاة,مفعول,اِشْتَهَى,مؤنث,مفرد
مُصَابٌ,مفعول,أصابَ,مذكر,مفرد
مُصْطَفَى,مفعول,اِصْطَفَى,مذكر,مفرد
مُصْطَفاة,مفعول,اِصْطَفَى,مؤنث,مفرد
مُصْطَلَحٌ,مفعول,اِصْطَلَحَ,مذكر,مفرد
مُضْطَرٌّ,مفعول,اِضْطَرَّ,مذكر,مفرد
مُضْطَهَدٌ,مفعول,اِضْطَهَدَ,مذكر,مفرد
مُضْمَرٌ,مفعول,أَضْمَرَ,مذكر,مفرد
مُضْنَى,مفعول,أَضْنَى,مذكر,مفرد
مُضْناة,مفعول,أَضْنَى,مؤنث,مفرد
مُطْفَأٌ,مفعول,أَطْفَأَ,مذكر,مفرد
مُطْفَأَةٌ,مفعول,أَطْفَأَ,مؤنث,مفرد
مُطْلَقٌ,مفعول,أَطْلَقَ,مذكر,مفرد
مُعَارٌ,مفعول,أَعَارَ,مذكر,مفرد
مُعَاقٌ,مفعول,أَعَاقَ,مذكر,مفرد
مُعْتَبَرٌ,مفعول,اِعْتَبَرَ,مذكر,مفرد
مُعْتَرَفٌ,مفعول,اِعْتَرَفَ,مذكر,مفرد
مُعْتَرَكٌ,مفعول,اِعْتَرَكَ,مذكر,مفرد
مُعْتَصَمٌ,مفعول,اِعْتَصَمَ,مذكر,مفرد
مُعْتَقٌ,مفعول,أَعْتَقَ,مذكر,مفرد
مُعْتَقَدٌ,مفعول,اِعْتَقَدَ,مذكر,مفرد
مُعْتَقَلٌ,مفعول,اِعْتَقَلَ,مذكر,مفرد
مُعْتَلٌّ,مفعول,اِعْتَلَّ,مذكر,مفرد
مُعْتَمَدٌ,مفعول,اِعْتَمَدَ,مذكر,مفرد
مُعْجَبٌ,مفعول,أَعْجَبَ,مذكر,مفرد
مُعَدٌّ,مفعول,أَعَدَّ,مذكر,مفرد
مُعْطَى,مفعول,أَعْطَى,مذكر,مفرد
مُعْطاة,مفعول,أَعْطَى,مؤنث,مفرد
مُعْفَى,مفعول,أَعْفَى,مذكر,مفرد
مُعْفاة,مفعول,أَعْفَى,مؤنث,مفرد
مُعْلَنٌ,مفعول,أَعْلَنَ,مذكر,مفرد
مُغْتَالٌ,مفعول,اِغْتَالَ,مذكر,مفرد
مُغْتَصَبٌ,مفعول,اِغْتَصَبَ,مذكر,مفرد
مُغْرَمٌ,مفعول,أَغْرَمَ,مذكر,مفرد
مُغْفَلٌ,مفعول,أَغْفَلَ,مذكر,مفرد
مُغْلَقٌ,مفعول,أَغْلَقَ,مذكر,مفرد
مُغْمَدٌ,مفعول,أَغْمَدَ,مذكر,مفرد
مُغْمَى,مفعول,أُغْمِيَ,مذكر,مفرد
مُغْماةٌ,مفعول,أُغْمِيَ,مؤنث,مفرد
مُفْتَرَضٌ,مفعول,اِفْتَرَضَ,مذكر,مفرد
مُفْتَرَقٌ,مفعول,اِفْتَرَقَ,مذكر,مفرد
مُفْتَعَلٌ,مفعول,اِفْتَعَلَ,مذكر,مفرد
مُفْحَمٌ,مفعول,أَفْحَمَ,مذكر,مفرد
مُفْرَدٌ,مفعول,أَفْرَدَ,مذكر,مفرد
مُفْرَغٌ,مفعول,أَفْرَغَ,مذكر,مفرد
مُفْعَمٌ,مفعول,أَفْعَمَ,مذكر,مفرد
مُقْتَبَسٌ,مفعول,اِقْتَبَسَ,مذكر,مفرد
مُقْتَحَمٌ,مفعول,اِقْتَحَمَ,مذكر,مفرد
مُقْتَرَحٌ,مفعول,اِقْتَرَحَ,مذكر,مفرد
مُقْتَرَضٌ,مفعول,اِقْتَرَضَ,مذكر,مفرد
مُقْتَضَبٌ,مفعول,اِقْتَضَبَ,مذكر,مفرد
مُقْتَضَى,مفعول,اِقْتَضَى,مذكر,مفرد
مُقْتَضاةٌ,مفعول,اِقْتَضَى,مؤنث,مفرد
مُقْتَطَعٌ,مفعول,اِقْتَطَعَ,مذكر,مفرد
مُقْتَطَفٌ,مفعول,اِقْتَطَفَ,مذكر,مفرد
مُقْتَلَعٌ,مفعول,اِقْتَلَعَ,مذكر,مفرد
مُقْعَدٌ,مفعول,أَقْعَدَ,مذكر,مفرد
مُقْفَلٌ,مفعول,أَقْفَلَ,مذكر,مفرد
مُكْتَسَبٌ,مفعول,اِكْتَسَبَ,مذكر,مفرد
مُكْتَسَحٌ,مفعول,اِكْتَسَحَ,مذكر,مفرد
مُكْتَظٌّ,مفعول,اِكْتَظَّ,مذكر,مفرد
مُكْتَنَفٌ,مفعول,اِكْتَنَفَ,مذكر,مفرد
مُؤَكَّدٌ,مفعول,أَكَّدَ,مذكر,مفرد
مُكْرَهٌ,مفعول,أَكْرَهَ,مذكر,مفرد
مَأْكُولٌ,مفعول,أَكَلَ,مذكر,مفرد
مَآكِيلُ,مفعول,أَكَلَ,NULL,جمع
مُلْتَاعٌ,مفعول,اِلْتَاعَ,مذكر,مفرد
مُلْتَفٌّ,مفعول,اِلْتَفَّ,مذكر,مفرد
مُلْجَمٌ,مفعول,أَلْجَمَ,مذكر,مفرد
مُلْحَقٌ,مفعول,أَلْحَقَ,مذكر,مفرد
مَلَاحِقُ,مفعول,أَلْحَقَ,NULL,جمع
مُلْزَمٌ,مفعول,أَلْزَمَ,مذكر,مفرد
مُلْصَقٌ,مفعول,أَلْصَقَ,مذكر,مفرد
مُلْغَزٌ,مفعول,أَلْغَزَ,مذكر,مفرد
مُلْغَى,مفعول,أَلْغَى,مذكر,مفرد
مُلْغاة,مفعول,أَلْغَى,مؤنث,مفرد
مُؤَلَّفٌ,مفعول,أَلَّفَ,مذكر,مفرد
مَأْلُوفٌ,مفعول,أَلِفَ,مذكر,مفرد
مُلْقَى,مفعول,أَلْقَى,مذكر,مفرد
مُلْقاة,مفعول,أَلْقَى,مؤنث,مفرد
مُلْهَمٌ,مفعول,أَلْهَمَ,مذكر,مفرد
مُمْتَحَنٌ,مفعول,اِمْتَحَنَ,مذكر,مفرد
مُمْتَلَكٌ,مفعول,اِمْتَلَكَ,مذكر,مفرد
مُمْتَهَنٌ,مفعول,اِمْتَهَنَ,مذكر,مفرد
مَأْمُورٌ,مفعول,أمَرَ,مذكر,مفرد
مُؤَمَّلٌ,مفعول,أَمَّلَ,مذكر,مفرد
مُؤَمَّمٌ,مفعول,أَمَّمَ,مذكر,مفرد
مُؤَمَّنٌ,مفعول,أَمَّنَ,مذكر,مفرد
مَأْمُونٌ,مفعول,أَمِنَ,مذكر,مفرد
مُنْتَجَعٌ,مفعول,اِنْتَجَعَ,مذكر,مفرد
مُنْتَحَلٌ,مفعول,اِنْتَحَلَ,مذكر,مفرد
مُنْتَخَبٌ,مفعول,اِنْتَخَبَ,مذكر,مفرد
مُنْتَدَبٌ,مفعول,اِنْتَدَبَ,مذكر,مفرد
مُنْتَصَفٌ,مفعول,اِنْتَصَفَ,مذكر,مفرد
مُنْتَقَدٌ,مفعول,اِنْتَقَدَ,مذكر,مفرد
مُنْتَقَى,مفعول,اِنْتَقَى,مذكر,مفرد
مُنْتَقاة,مفعول,اِنْتَقَى,مؤنث,مفرد
مُنْتَهَكٌ,مفعول,اِنْتَهَكَ,مذكر,مفرد
مُنْتَهَى,مفعول,اِنْتَهَى,مذكر,مفرد
مُنْتَهاة,مفعول,اِنْتَهَى,مؤنث,مفرد
مُؤَنَّثٌ,مفعول,أَنَّثَ,مذكر,مفرد
مُنْجَزٌ,مفعول,أَنْجَزَ,مذكر,مفرد
مُنْحَدَرٌ,مفعول,اِنْحَدَرَ,مذكر,مفرد
مُنْزَلٌ,مفعول,أَنْزَلَ,مذكر,مفرد
مُنْسَابٌ,مفعول,اِنْسابَ,مذكر,مفرد
مُنْسَلَخٌ,مفعول,اِنْسَلَخَ,مذكر,مفرد
مُنْشَأٌ,مفعول,أَنْشَأَ,مذكر,مفرد
مُنْشَأَةٌ,مفعول,أَنْشَأَ,مؤنث,مفرد
مُنْصَرَفٌ,مفعول,اِنْصَرَفَ,مذكر,مفرد
مُنْضَمٌّ,مفعول,اِنْضَمَّ,مذكر,مفرد
مُنْطَلَقٌ,مفعول,اِنْطَلَقَ,مذكر,مفرد
مُنْعَرَجٌ,مفعول,اِنْعَرَجَ,مذكر,مفرد
مُنْعَطَفٌ,مفعول,اِنْعَطَفَ,مذكر,مفرد
مُنْعَكَسٌ,مفعول,اِنْعَكَسَ,مذكر,مفرد
مُنْقَعٌ,مفعول,أَنْقَعَ,مذكر,مفرد
مُنْقَلَبٌ,مفعول,اِنْقَلَبَ,مذكر,مفرد
مُنْكَرٌ,مفعول,أَنْكَرَ,مذكر,مفرد
مُنْهَكٌ,مفعول,أَنْهَكَ,مذكر,مفرد
مُهَانٌ,مفعول,أَهَانَ,مذكر,مفرد
مُهْرَقٌ,مفعول,أَهْرَقَ,مذكر,مفرد
مَهَارِقُ,مفعول,أَهْرَقَ,NULL,جمع
مُؤَهَّلٌ,مفعول,أَهَّلَ,مذكر,مفرد
مَأْهُولٌ,مفعول,أَهِلَ,مذكر,مفرد
مُهْمَلٌ,مفعول,أَهْمَلَ,مذكر,مفرد
مُوثَقٌ,مفعول,أَوْثَقَ,مذكر,مفرد
مُوجَبٌ,مفعول,أَوْجَبَ,مذكر,مفرد
مُوجَزٌ,مفعول,أَوْجَزَ,مذكر,مفرد
مَوَاجِزُ,مفعول,أَوْجَزَ,NULL,جمع
مُوحَى,مفعول,أَوْحَى,مذكر,مفرد
مُوحاة,مفعول,أَوْحَى,مؤنث,مفرد
مُودَعٌ,مفعول,أَوْدَعَ,مذكر,مفرد
مُوصَى,مفعول,أَوْصَى,مذكر,مفرد
مُوصاة,مفعول,أَوْصَى,مؤنث,مفرد
مُوفَدٌ,مفعول,أَوْفَدَ,مذكر,مفرد
مُولَعٌ,مفعول,أَوْلَعَ,مذكر,مفرد
مُومَأٌ,مفعول,أَوْمَأَ,مذكر,مفرد
مُومَأَةٌ,مفعول,أَوْمَأَ,مؤنث,مفرد
مُوهَنٌ,مفعول,أَوْهَنَ,مذكر,مفرد
مُؤْتَمَنٌ,مفعول,اِئْتَمَنَ,مذكر,مفرد
مُؤَيَّدٌ,مفعول,أَيَّدَ,مذكر,مفرد
مَبِيعٌ,مفعول,بَاعَ,مذكر,مفرد
مَبْتُورٌ,مفعول,بَتَرَ,مذكر,مفرد
مَبْثُورٌ,مفعول,بَثَرَ,مذكر,مفرد
مُبَجَّلٌ,مفعول,بجّل,مذكر,مفرد
مَبْحُوحٌ,مفعول,بَحَّ,مذكر,مفرد
مُتَبَخَّرٌ,مفعول,تبخّر,مذكر,مفرد
مُبَرَّدٌ,مفعول,بَرَّدَ,مذكر,مفرد
مُبْرَدٌ,مفعول,أبرد,مذكر,مفرد
مُبَرَّرٌ,مفعول,بَرَّرَ,مذكر,مفرد
